county,countyfips,year,age,population,migrationrate,netmigration
Arapahoe,5,2000,05_09,38024,9.8,3734
Arapahoe,5,2000,10_14,35219,13.9,4925
Arapahoe,5,2000,15_19,36951,2.7,1010
Arapahoe,5,2000,20_24,37337,-4.9,-1857
Arapahoe,5,2000,25_29,33410,29.9,10016
Arapahoe,5,2000,30_34,30044,39.7,11941
Arapahoe,5,2000,35_39,37554,12.3,4638
Arapahoe,5,2000,40_44,37810,6.7,2545
Arapahoe,5,2000,45_49,41704,2.9,1223
Arapahoe,5,2000,50_54,43073,-1.7,-765
Arapahoe,5,2000,55_59,39228,-6.5,-2577
Arapahoe,5,2000,60_64,31888,-7.5,-2404
Arapahoe,5,2000,65_69,20336,-7.2,-1465
Arapahoe,5,2000,70_74,13487,-3.7,-501
Arapahoe,5,2010,00_04,37885.35,1.99,756
Arapahoe,5,2010,05_09,37666.52,10.15,3822
Arapahoe,5,2010,10_14,42769.35,5.6,2394
Arapahoe,5,2010,15_19,42026.84,-1.63,-686
Arapahoe,5,2010,20_24,39912.64,-5.09,-2030
Arapahoe,5,2010,25_29,37180.5,35.08,13045
Arapahoe,5,2010,30_34,34635.2,50.57,17515
Arapahoe,5,2010,35_39,42797.13,18.91,8095
Arapahoe,5,2010,40_44,41300.95,10.46,4319
Arapahoe,5,2010,45_49,41290.2,5.86,2419
Arapahoe,5,2010,50_54,39392.05,2.83,1114
Arapahoe,5,2010,55_59,41459.54,-1.93,-801
Arapahoe,5,2010,60_64,39944.06,-4.24,-1695
Arapahoe,5,2010,65_69,33692.88,-5.65,-1904
Arapahoe,5,2010,70_74,26073.85,-5.49,-1432
Archuleta,7,1970,00_04,335,-14,-47
Archuleta,7,1970,05_09,286,10.8,31
Archuleta,7,1970,10_14,267,26.2,70
Archuleta,7,1970,15_19,371,0,0
Archuleta,7,1970,20_24,308,-32.1,-99
Archuleta,7,1970,25_29,243,23,56
Archuleta,7,1970,30_34,186,74.1,138
Archuleta,7,1970,35_39,176,27.2,48
Archuleta,7,1970,40_44,156,36.5,57
Archuleta,7,1970,45_49,134,38,51
Archuleta,7,1970,50_54,147,35.3,52
Archuleta,7,1970,55_59,165,23,38
Archuleta,7,1970,60_64,131,41.9,55
Archuleta,7,1970,65_69,106,34.9,37
Archuleta,7,1970,70_74,88,-2.2,-2
Archuleta,7,1980,00_04,453,1.8,8
Archuleta,7,1980,05_09,439,10.8,47
Archuleta,7,1980,10_14,286,48.6,139
Archuleta,7,1980,15_19,316,1.7,5
Archuleta,7,1980,20_24,334,-39.9,-133
Archuleta,7,1980,25_29,365,-14.6,-53
Archuleta,7,1980,30_34,206,118.3,244
Archuleta,7,1980,35_39,294,70.9,208
Archuleta,7,1980,40_44,316,35.8,113
Archuleta,7,1980,45_49,217,48.3,105
Archuleta,7,1980,50_54,204,26.9,55
Archuleta,7,1980,55_59,173,53.8,93
Archuleta,7,1980,60_64,178,94.3,168
Archuleta,7,1980,65_69,173,47.3,82
Archuleta,7,1980,70_74,143,24.6,35
Archuleta,7,1990,00_04,447,24.2,108
Archuleta,7,1990,05_09,350,93.6,327
Archuleta,7,1990,10_14,478,66.4,317
Archuleta,7,1990,15_19,501,44.2,221
Archuleta,7,1990,20_24,432,-7.4,-32
Archuleta,7,1990,25_29,329,38.7,127
Archuleta,7,1990,30_34,201,141.3,284
Archuleta,7,1990,35_39,310,144.9,450
Archuleta,7,1990,40_44,442,101.7,450
Archuleta,7,1990,45_49,490,94,460
Archuleta,7,1990,50_54,419,106.6,447
Archuleta,7,1990,55_59,309,128,396
Archuleta,7,1990,60_64,240,114.2,274
Archuleta,7,1990,65_69,237,93.6,222
Archuleta,7,1990,70_74,298,16,48
Archuleta,7,2000,00_04,611,1.8,11
Archuleta,7,2000,05_09,584,9.5,55
Archuleta,7,2000,10_14,551,32.3,178
Archuleta,7,2000,15_19,666,-1.3,-8
Archuleta,7,2000,20_24,781,-41.3,-323
Archuleta,7,2000,25_29,718,-23.2,-166
Archuleta,7,2000,30_34,392,46.7,183
Archuleta,7,2000,35_39,448,29.8,133
Archuleta,7,2000,40_44,480,33.8,162
Archuleta,7,2000,45_49,735,31.2,230
Archuleta,7,2000,50_54,863,27.5,237
Archuleta,7,2000,55_59,913,31.7,290
Archuleta,7,2000,60_64,813,52.4,426
Archuleta,7,2000,65_69,633,27.7,175
Archuleta,7,2000,70_74,455,10.3,46
Archuleta,7,2010,00_04,568,-0.88,-5
Archuleta,7,2010,05_09,568.13,23.03,131
Archuleta,7,2010,10_14,624.83,12.99,81
Archuleta,7,2010,15_19,644.06,0.61,4
Archuleta,7,2010,20_24,728.65,-32.07,-234
Archuleta,7,2010,25_29,646.87,-16.68,-108
Archuleta,7,2010,30_34,443.83,52.31,232
Archuleta,7,2010,35_39,537.64,47.31,254
Archuleta,7,2010,40_44,566.95,29.11,165
Archuleta,7,2010,45_49,566.58,23.72,134
Archuleta,7,2010,50_54,619.84,28.58,177
Archuleta,7,2010,55_59,929.88,18.4,171
Archuleta,7,2010,60_64,1032.94,29.15,301
Archuleta,7,2010,65_69,1115,23.59,263
Archuleta,7,2010,70_74,1107.11,0.62,7
Baca,9,1970,00_04,457,-12,-55
Baca,9,1970,05_09,441,-7.7,-34
Baca,9,1970,10_14,447,-0.2,-1
Baca,9,1970,15_19,514,-4.6,-24
Baca,9,1970,20_24,619,-37.6,-233
Baca,9,1970,25_29,565,-24.9,-141
Baca,9,1970,30_34,316,10.1,32
Baca,9,1970,35_39,295,7.1,21
Baca,9,1970,40_44,283,-7.4,-21
Baca,9,1970,45_49,303,-5.9,-18
Baca,9,1970,50_54,340,-8.2,-28
Baca,9,1970,55_59,367,-7,-26
Baca,9,1970,60_64,317,-8.5,-27
Baca,9,1970,65_69,249,-6.8,-17
Baca,9,1970,70_74,225,-3.9,-9
Baca,9,1980,00_04,328,-4.9,-16
Baca,9,1980,05_09,436,-18.3,-80
Baca,9,1980,10_14,405,-21.8,-88
Baca,9,1980,15_19,414,-38.6,-160
Baca,9,1980,20_24,455,-59.9,-273
Baca,9,1980,25_29,495,-43.5,-215
Baca,9,1980,30_34,384,-16,-61
Baca,9,1980,35_39,421,-20.2,-85
Baca,9,1980,40_44,341,-8.9,-30
Baca,9,1980,45_49,308,-13,-40
Baca,9,1980,50_54,252,-14.3,-36
Baca,9,1980,55_59,267,-10.7,-28
Baca,9,1980,60_64,280,-3.3,-9
Baca,9,1980,65_69,290,-1.2,-3
Baca,9,1980,70_74,227,5.3,12
Baca,9,1990,00_04,204,35.2,72
Baca,9,1990,05_09,238,14.7,35
Baca,9,1990,10_14,319,2.2,7
Baca,9,1990,15_19,353,-6.6,-23
Baca,9,1990,20_24,312,-47.5,-148
Baca,9,1990,25_29,257,-23.2,-59
Baca,9,1990,30_34,182,14.2,26
Baca,9,1990,35_39,279,-1.5,-4
Baca,9,1990,40_44,307,10.9,33
Baca,9,1990,45_49,330,1.3,4
Baca,9,1990,50_54,303,-8,-24
Baca,9,1990,55_59,258,2.6,6
Baca,9,1990,60_64,204,11.3,23
Baca,9,1990,65_69,207,13.9,28
Baca,9,1990,70_74,219,8.6,18
Baca,9,2000,00_04,209,5.2,10
Baca,9,2000,05_09,185,10.8,20
Baca,9,2000,10_14,275,-11.4,-31
Baca,9,2000,15_19,269,-11.8,-31
Baca,9,2000,20_24,321,-58.4,-188
Baca,9,2000,25_29,328,-39.1,-128
Baca,9,2000,30_34,162,0.4,0
Baca,9,2000,35_39,192,-7.5,-14
Baca,9,2000,40_44,205,-3.3,-6
Baca,9,2000,45_49,262,-2,-5
Baca,9,2000,50_54,332,-12.7,-42
Baca,9,2000,55_59,310,-5.7,-17
Baca,9,2000,60_64,248,2.6,6
Baca,9,2000,65_69,220,1.3,2
Baca,9,2000,70_74,186,-0.8,-1
Baca,9,2010,00_04,208,-8.65,-18
Baca,9,2010,05_09,215.03,6.03,13
Baca,9,2010,10_14,221.91,10.86,24
Baca,9,2010,15_19,207.38,-11.27,-23
Baca,9,2010,20_24,242.7,-28.72,-70
Baca,9,2010,25_29,234.07,-23.95,-56
Baca,9,2010,30_34,127.58,41.09,52
Baca,9,2010,35_39,197.89,3.09,6
Baca,9,2010,40_44,161.16,14.17,23
