countyfips,year,estimate
83,2033,34030
47,2033,6115
35,2033,419732
59,2033,635644
109,2033,6523
103,2033,6756
5,2033,775888
49,2033,19549
111,2033,720
23,2033,3690
1,2033,676792
33,2033,1953
91,2033,5265
9,2033,3150
19,2033,10836
57,2033,1277
69,2033,442186
13,2033,381011
61,2033,1252
14,2033,95195
23,2032,3698
61,2032,1261
15,2032,22921
67,2032,72697
89,2032,17589
19,2032,10735
77,2032,185470
71,2032,13677
83,2032,33576
121,2032,5164
35,2032,415144
79,2032,857
113,2032,11220
95,2032,4277
13,2032,377591
119,2032,28858
45,2032,77826
47,2032,6094
9,2032,3176
99,2032,11861
17,2032,1812
31,2032,843894
125,2032,10641
1,2032,665326
87,2032,33164
115,2032,2300
37,2032,69309
33,2032,1955
65,2032,8533
27,2032,5020
109,2032,6537
107,2032,33148
11,2032,5787
51,2032,19260
53,2032,978
111,2032,721
29,2032,34317
93,2032,21709
14,2032,94944
101,2032,193784
21,2032,8302
59,2032,632839
123,2032,478477
3,2032,19041
41,2032,879307
117,2032,36900
85,2032,53876
5,2032,767782
7,2032,17295
43,2032,49350
0,2032,6905124
69,2032,436208
55,2032,6406
63,2032,7725
103,2032,6736
73,2032,6673
97,2032,19329
49,2032,19229
105,2032,11285
39,2032,40066
81,2032,13351
25,2032,6118
91,2032,5245
75,2032,25473
57,2032,1283
37,2031,68237
19,2031,10635
81,2031,13333
83,2031,33097
75,2031,25296
85,2031,52967
41,2031,867324
15,2031,22781
73,2031,6603
21,2031,8283
125,2031,10620
87,2031,32782
71,2031,13727
89,2031,17699
69,2031,430161
14,2031,94649
23,2031,3706
91,2031,5225
67,2031,71748
13,2031,374124
65,2031,8469
93,2031,21478
1,2031,653830
25,2031,6093
95,2031,4289
123,2031,465913
63,2031,7668
11,2031,5800
61,2031,1270
97,2031,19230
59,2031,629876
27,2031,4993
99,2031,11885
9,2031,3202
57,2031,1285
101,2031,191817
55,2031,6433
29,2031,33955
103,2031,6716
7,2031,16892
53,2031,965
105,2031,11300
51,2031,19114
39,2031,39331
107,2031,32558
31,2031,836015
109,2031,6551
119,2031,28706
49,2031,18909
5,2031,759316
47,2031,6074
111,2031,723
33,2031,1958
113,2031,11002
45,2031,76415
0,2031,6820066
35,2031,410199
3,2031,18866
43,2031,49093
115,2031,2304
117,2031,36439
121,2031,5173
79,2031,856
17,2031,1822
77,2031,182284
33,2030,1962
115,2030,2315
119,2030,28548
67,2030,70791
23,2030,3714
49,2030,18597
121,2030,5172
3,2030,18690
97,2030,19144
81,2030,13315
5,2030,750773
9,2030,3228
111,2030,724
91,2030,5205
61,2030,1280
7,2030,16510
47,2030,6064
63,2030,7615
14,2030,94282
43,2030,48825
11,2030,5810
37,2030,67160
21,2030,8264
73,2030,6535
27,2030,4965
57,2030,1287
15,2030,22529
53,2030,954
85,2030,52052
101,2030,189806
35,2030,405087
87,2030,32406
77,2030,179100
55,2030,6456
1,2030,642318
25,2030,6071
105,2030,11311
117,2030,35972
45,2030,75001
95,2030,4291
17,2030,1833
123,2030,453421
125,2030,10601
89,2030,17804
51,2030,18969
75,2030,25113
103,2030,6697
113,2030,10792
41,2030,855206
107,2030,31963
19,2030,10537
65,2030,8404
93,2030,21229
83,2030,32595
31,2030,827681
99,2030,11903
0,2030,6733658
59,2030,626742
71,2030,13773
13,2030,370618
69,2030,424052
109,2030,6564
29,2030,33595
39,2030,38581
79,2030,854
117,2029,35503
45,2029,73589
71,2029,13817
67,2029,69828
83,2029,32121
125,2029,10576
65,2029,8341
23,2029,3722
19,2029,10441
105,2029,11323
49,2029,18284
13,2029,367083
33,2029,1968
121,2029,5170
55,2029,6479
39,2029,37679
97,2029,19058
25,2029,6049
41,2029,843000
37,2029,66074
5,2029,742169
7,2029,16162
113,2029,10586
9,2029,3255
95,2029,4295
91,2029,5186
35,2029,399837
119,2029,28387
111,2029,726
61,2029,1289
17,2029,1839
79,2029,851
31,2029,819153
0,2029,6646711
85,2029,51132
47,2029,6072
99,2029,11921
75,2029,24929
1,2029,630806
14,2029,93876
43,2029,48557
63,2029,7564
15,2029,22355
115,2029,2326
101,2029,187785
123,2029,441006
21,2029,8246
89,2029,17910
29,2029,33266
93,2029,20959
51,2029,18821
81,2029,13298
59,2029,623464
57,2029,1290
77,2029,176067
11,2029,5822
103,2029,6679
27,2029,4936
73,2029,6469
69,2029,417873
3,2029,18516
87,2029,32031
53,2029,944
109,2029,6578
107,2029,31372
59,2028,620058
85,2028,50197
105,2028,11334
117,2028,35023
75,2028,24741
63,2028,7514
83,2028,31635
77,2028,173136
9,2028,3283
101,2028,185761
123,2028,428579
57,2028,1294
27,2028,4908
81,2028,13282
73,2028,6396
53,2028,932
25,2028,6027
55,2028,6499
95,2028,4308
103,2028,6663
51,2028,18668
65,2028,8280
107,2028,30770
31,2028,810438
93,2028,20680
13,2028,363324
29,2028,32966
109,2028,6590
41,2028,830711
0,2028,6559016
67,2028,68859
49,2028,18006
1,2028,619313
23,2028,3731
19,2028,10345
5,2028,733524
61,2028,1298
91,2028,5168
14,2028,93435
47,2028,6081
39,2028,36763
125,2028,10556
111,2028,728
119,2028,28216
69,2028,411630
97,2028,18968
33,2028,1974
71,2028,13858
35,2028,394491
113,2028,10374
89,2028,18017
45,2028,72184
99,2028,11938
87,2028,31655
121,2028,5167
11,2028,5833
21,2028,8228
37,2028,64973
79,2028,848
15,2028,22173
17,2028,1840
43,2028,48330
3,2028,18341
7,2028,15845
115,2028,2331
119,2027,28033
99,2027,11954
13,2027,359453
29,2027,32662
43,2027,48143
93,2027,20392
41,2027,818478
113,2027,10157
9,2027,3311
31,2027,801545
107,2027,30154
51,2027,18509
39,2027,35838
121,2027,5163
65,2027,8219
77,2027,170407
89,2027,18124
95,2027,4306
103,2027,6644
55,2027,6517
25,2027,6004
53,2027,922
83,2027,31129
45,2027,70783
85,2027,49243
59,2027,616539
11,2027,5843
27,2027,4882
3,2027,18163
87,2027,31298
63,2027,7463
75,2027,24548
57,2027,1298
1,2027,607853
79,2027,845
117,2027,34488
21,2027,8208
17,2027,1841
35,2027,389092
7,2027,15560
115,2027,2340
47,2027,6088
15,2027,21983
19,2027,10252
14,2027,91220
111,2027,727
73,2027,6331
91,2027,5150
5,2027,724858
61,2027,1307
23,2027,3738
69,2027,405324
101,2027,183741
105,2027,11344
37,2027,63866
33,2027,1983
123,2027,416146
49,2027,17765
67,2027,67782
81,2027,13267
109,2027,6601
0,2027,6469122
125,2027,10529
97,2027,18872
71,2027,13897
1,2026,596445
123,2026,403718
103,2026,6624
55,2026,6533
99,2026,11970
29,2026,32352
61,2026,1316
97,2026,18772
105,2026,11353
11,2026,5842
7,2026,15307
63,2026,7413
53,2026,911
79,2026,837
25,2026,5980
0,2026,6378381
107,2026,29531
95,2026,4309
65,2026,8156
51,2026,18345
41,2026,806210
31,2026,792505
93,2026,20088
13,2026,355376
37,2026,62711
109,2026,6611
81,2026,13253
67,2026,66593
49,2026,17562
23,2026,3746
5,2026,716179
91,2026,5132
14,2026,88989
47,2026,6095
111,2026,729
19,2026,10169
69,2026,398950
33,2026,1989
71,2026,13932
113,2026,9935
125,2026,10509
89,2026,18213
45,2026,69289
39,2026,34904
17,2026,1842
87,2026,30963
119,2026,27836
21,2026,8188
15,2026,21723
43,2026,47997
3,2026,17985
115,2026,2352
73,2026,6255
85,2026,48270
75,2026,24350
117,2026,33898
35,2026,383664
77,2026,167779
121,2026,5159
83,2026,30601
9,2026,3339
101,2026,181725
59,2026,612910
57,2026,1303
27,2026,4859
61,2025,1325
0,2025,6286282
1,2025,585105
3,2025,17747
5,2025,707507
7,2025,15117
9,2025,3367
11,2025,5866
13,2025,351310
14,2025,86563
15,2025,21531
17,2025,1841
19,2025,10096
21,2025,8178
23,2025,3759
25,2025,5955
27,2025,4874
29,2025,32035
31,2025,783456
33,2025,1993
35,2025,378124
37,2025,61575
39,2025,33918
41,2025,794078
43,2025,47841
45,2025,67906
47,2025,6107
49,2025,17280
51,2025,18217
53,2025,898
55,2025,6531
57,2025,1312
59,2025,609124
63,2025,7365
65,2025,8111
67,2025,65298
69,2025,392202
71,2025,13963
73,2025,6162
75,2025,24042
77,2025,165166
79,2025,828
81,2025,13230
83,2025,30026
85,2025,47188
87,2025,30561
89,2025,18273
91,2025,5101
93,2025,19869
95,2025,4305
97,2025,18614
99,2025,11988
101,2025,179423
103,2025,6572
105,2025,11313
107,2025,28862
109,2025,6649
111,2025,730
113,2025,9710
115,2025,2338
117,2025,33386
119,2025,27586
121,2025,5120
123,2025,391307
125,2025,10458
45,2024,66626
7,2024,14912
105,2024,11254
15,2024,21295
85,2024,46158
81,2024,13203
17,2024,1838
83,2024,29459
103,2024,6510
11,2024,5872
95,2024,4296
57,2024,1320
31,2024,774527
93,2024,19647
59,2024,604950
27,2024,4889
115,2024,2318
49,2024,16940
61,2024,1334
53,2024,883
99,2024,11995
63,2024,7318
3,2024,17486
25,2024,5925
29,2024,31764
13,2024,347263
91,2024,5069
121,2024,5067
0,2024,6193474
113,2024,9484
9,2024,3393
65,2024,8061
47,2024,6099
67,2024,63996
111,2024,726
23,2024,3765
37,2024,60393
69,2024,385438
55,2024,6518
14,2024,83898
89,2024,18308
1,2024,573847
71,2024,13975
5,2024,698605
21,2024,8163
33,2024,1998
117,2024,32869
101,2024,177232
109,2024,6681
87,2024,30162
51,2024,18055
73,2024,6064
125,2024,10393
39,2024,32881
75,2024,23694
107,2024,28124
19,2024,10046
